date,open,high,low,close,volume
1980-03-17,2.5868,2.6317,2.5868,2.5868,26000
1980-03-18,2.6317,2.6317,2.6317,2.6317,2000
1980-03-19,2.5998,2.5998,2.5998,2.5998,2000
1980-03-21,2.5998,2.5998,2.5998,2.5998,2000
1980-03-24,2.6157,2.6157,2.6157,2.6157,24000
1980-03-25,2.6736,2.7054,2.6736,2.6736,18000
1980-03-26,2.6317,2.6317,2.6157,2.6157,4000
1980-03-27,2.5868,2.5868,2.5709,2.5709,4000
1980-03-28,2.5709,2.5709,2.5116,2.5709,6000
1980-03-31,2.7199,2.7199,2.7199,2.7199,4000
1980-04-01,2.6317,2.6317,2.5998,2.5998,6000
1980-04-02,2.5709,2.5709,2.5709,2.5709,2000
1980-04-03,2.5405,2.5405,2.5405,2.5405,2000
1980-04-07,2.6157,2.6317,2.6157,2.6317,8000
1980-04-08,2.6317,2.6447,2.6317,2.6447,28000
1980-04-09,2.6317,2.6317,2.6317,2.6317,8000
1980-04-10,2.6895,2.7054,2.6895,2.7054,12000
1980-04-11,2.7358,2.7358,2.7358,2.7358,16000
1980-04-14,2.7517,2.7807,2.7517,2.7517,28000
1980-04-17,2.7358,2.7358,2.7358,2.7358,2000
1980-04-18,2.7517,2.7648,2.7517,2.7648,6000
1980-04-21,2.7648,2.7648,2.7648,2.7648,18000
1980-04-22,2.7807,2.7937,2.7807,2.7937,18000
1980-04-23,2.7807,2.7807,2.7807,2.7807,4000
1980-04-24,2.8689,2.9008,2.8689,2.9008,4000
1980-04-25,2.9008,2.9008,2.8848,2.9008,4000
1980-04-28,2.9427,2.9745,2.9427,2.9745,6000
1980-04-29,2.9745,3.0049,2.9745,3.0049,6000
1980-04-30,3.0049,3.0049,2.9890,2.9890,6000
1980-05-01,2.9890,2.9890,2.9890,2.9890,8000
1980-05-05,2.9890,2.9890,2.9890,2.9890,6000
1980-05-06,2.9890,3.0208,2.9890,2.9890,6000
1980-05-07,3.0049,3.0208,3.0049,3.0049,12000
1980-05-08,3.0049,3.0208,3.0049,3.0208,14000
1980-05-09,3.0208,3.0628,2.9890,2.9890,32000
1980-05-12,2.9890,2.9890,2.9890,2.9890,2000
1980-05-13,3.0049,3.0049,3.0049,3.0049,2000
1980-05-14,3.0208,3.0208,3.0208,3.0208,2000
1980-05-16,2.9890,2.9890,2.9297,2.9586,26000
1980-05-19,2.9586,2.9586,2.9586,2.9586,2000
1980-05-21,2.9745,2.9890,2.9745,2.9745,14000
1980-05-23,3.0946,3.1236,3.0946,3.1076,16000
1980-05-27,3.1076,3.1380,3.0787,3.1380,16000
1980-05-28,3.1076,3.1076,3.0946,3.0946,6000
1980-05-29,3.0628,3.0628,3.0628,3.0628,4000
1980-05-30,3.1076,3.1380,3.1076,3.1380,14000
1980-06-02,3.1698,3.1698,3.1698,3.1698,4000
1980-06-03,3.1076,3.1076,3.1076,3.1076,2000
1980-06-04,3.1076,3.1076,3.0628,3.0628,16000
